"name","hex"
"Light Grey","#B3BAB8"
"Lavender","#AF9FCE"
"Shamrock","#008F53"
"Cobalt","#0065B1"
"Midnight","#2F3C55"
"Robin's Egg","#A9CDD5"
"Flamingo","#F2AFB7"
"Salmon","#E1747A"
"Fawn","#C9A385"
"Pewter","#94A19D"
"Charcoal","#4F595A"
"Toasted Marshmallow","#DEDACE"
"Orchid","#B1628E"
"Tomato","#D14337"
"Spice","#D9593A"
"Apricot","#F5A168"
"Sherbet","#D8E47C"
"Mist","#93B0BD"
"Sky","#4AC0D8"
"Lagoon","#00A4AC"
"Teal","#047F8A"
"Fern","#7F971A"
"Olive","#696E31"
"Cherry","#9D2B3A"
"White","#EAEFEE"
"Creme","#E1E2BB"
"Yellow","#E7CE3E"
"Orange","#EB7B31"
"Red","#B0353C"
"Bubblegum","#D8729A"
"Purple","#684B86"
"Dark Blue","#0E5092"
"Light Blue","#278CC9"
"Dark Green","#007B4E"
"Light Green","#18C7B1"
"Brown","#674C44"
"Grey","#909497"
"Black","#323234"
"Rust","#995043"
"Light Brown","#936848"
"Peach","#E9BFB9"
"Tan","#C5AC90"
"Magenta","#E04284"
"Pastel Blue","#4A9CCF"
"Pastel Green","#6DCC94"
"Pastel Lavender","#937FBF"
"Pastel Yellow","#E9E290"
"Cheddar","#FBB146"
"Toothpaste","#96D1D4"
"Hot Coral","#DD595B"
"Plum","#A75D9D"
"Kiwi Lime","#69B845"
"Turquoise","#0098C5"
"Blush","#F99297"
"Periwinkle Blue","#6683B7"
"Light Pink","#E1BCCE"
"Green","#4DAB64"
"Pink","#D45496"
"Raspberry","#983864"
"Butterscotch","#DA9964"
"Parrot Green","#009188"
"Dark Grey","#585C61"
"Blueberry Creme","#85A8E3"
"Cranapple","#843947"
"Prickly Pear","#BBC938"
"Sand","#E5BE9E"
"Mint","#B3EED5"
"Sour Apple","#A3DE6F"
"Cotton Candy","#F479B0"
"Grape","#503B9C"
"Rose","#D25D72"
"Iris","#4E56A3"
"Tangerine","#FD5918"
"Forest","#005D57"
"Eggplant","#6F3255"
"Honey","#DA8C2C"
"Gingerbread","#7E5446"
"Thistle","#8C8CA7"
"Slate Blue","#5E6D7B"
"Denim","#4C6388"
"Sage","#9AA98E"
"Orange Cream","#EFB79B"
"Fruit Punch","#CA3B65"
"Fuchsia","#CB59B9"
"Mulberry","#714875"
"Slime","#C8C85C"
"Stone","#988C8C"
"Dark Spruce","#14313B"
"Cocoa","#392928"
"Twilight Plum","#C685B1"
"Caribbean Sea","#6CC8AD"
"Frosted Lilac","#CDB7C3"
"Brick","#FC9574"
"Rich Butter","#F6CA69"
"Peacock","#0090AC"
"Carnation Pink","#F8C7C9"
"Sunflower","#DEBA0B"
"Lemon","#F6D901"
"Celery","#BED4A6"
"Mocha","#C8B693"
"Coral","#FF9A8B"
"Light Gray 2.5","#DED6C8"
"Evergreen","#315545"
"Neon Pink","#E95CA8"
"Neon Yellow","#BBC232"
"Neon Orange","#DD9138"
"Neon Green","#00AE60"
"Neon Blue","#3C56B6"
